Record ID#,Spacecraft Name,Launch Code (Using Record ID)
913,Beidou 2G GEO 1,
914,Beidou 2G GEO 2,
915,Beidou 2G IGSO 1,
916,Beidou 2G IGSO 2,
917,Beidou 2G MEO 1,
918,Beidou 2G MEO 2,
919,Beidou 2G MEO 3,
920,Beidou 2G MEO 4,
921,Beidou 2G MEO 5,
922,Beidou 2G MEO 6,
923,Beijing Smart 1,
924,Beijing Smart 10,
925,Beijing Smart 11,
926,Beijing Smart 12,
927,Beijing Smart 2,
928,Beijing Smart 3,
929,Beijing Smart 4,
930,Beijing Smart 5,
931,Beijing Smart 6,
932,Beijing Smart 7,
933,Beijing Smart 8,
934,Beijing Smart 9,
935,Beresheet 2 Lander 1,
936,Beresheet 2 Lander 2,
937,Beresheet 2 Orbiter,
938,BIOMASS (Earth Explorer 7),
939,Bion M,
940,Bion M follow on,
941,Bion M No. 2,
942,BioSentinel,
943,Blackjack 1,
944,Blackjack 10,
945,Blackjack 11,
946,Blackjack 12,
947,Blackjack 13,
948,Blackjack 14,
949,Blackjack 15,
950,Blackjack 16,
951,Blackjack 17,
952,Blackjack 18,
953,Blackjack 19,
954,Blackjack 2,
955,Blackjack 20,
956,Blackjack 21,
957,Blackjack 22,
958,Blackjack 23,
959,Blackjack 3,
960,Blackjack 4,
961,Blackjack 5,
